Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Helsingborg A;62040;2.0

Parameternamn;Beskrivning;Enhet
Nederbörd;1 gång/dygn, kl 18;code

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-11-09 18:00:01;1995-11-10 18:00:00;1995-11-10;duggregn;G
1995-11-09 18:00:01;1995-11-10 18:00:00;1995-11-10;regn;G
1995-11-10 18:00:01;1995-11-11 18:00:00;1995-11-11;Obestämd nederbördstyp;G
1995-11-10 18:00:01;1995-11-11 18:00:00;1995-11-11;duggregn;G
1995-11-10 18:00:01;1995-11-11 18:00:00;1995-11-11;regn;G
1995-11-10 18:00:01;1995-11-11 18:00:00;1995-11-11;regnskurar;G
1995-11-11 18:00:01;1995-11-12 18:00:00;1995-11-12;duggregn;G
1995-11-11 18:00:01;1995-11-12 18:00:00;1995-11-12;Obestämd nederbördstyp;G
1995-11-11 18:00:01;1995-11-12 18:00:00;1995-11-12;regn;G
1995-11-14 18:00:01;1995-11-15 18:00:00;1995-11-15;Obestämd nederbördstyp;G
1995-11-14 18:00:01;1995-11-15 18:00:00;1995-11-15;regn;G
1995-11-14 18:00:01;1995-11-15 18:00:00;1995-11-15;regnskurar;G
1995-11-14 18:00:01;1995-11-15 18:00:00;1995-11-15;duggregn;G
1995-11-15 18:00:01;1995-11-16 18:00:00;1995-11-16;Obestämd nederbördstyp;G
1995-11-15 18:00:01;1995-11-16 18:00:00;1995-11-16;regn;G
1995-11-16 18:00:01;1995-11-17 18:00:00;1995-11-17;snöbyar;G
1995-11-16 18:00:01;1995-11-17 18:00:00;1995-11-17;regnskurar;G
1995-11-16 18:00:01;1995-11-17 18:00:00;1995-11-17;snowfall;G
1995-11-16 18:00:01;1995-11-17 18:00:00;1995-11-17;regn;G
1995-11-16 18:00:01;1995-11-17 18:00:00;1995-11-17;kornsnö;G
1995-11-17 18:00:01;1995-11-18 18:00:00;1995-11-18;Obestämd nederbördstyp;G
1995-11-17 18:00:01;1995-11-18 18:00:00;1995-11-18;snowfall;G
1995-11-18 18:00:01;1995-11-19 18:00:00;1995-11-19;snowfall;G
1995-11-18 18:00:01;1995-11-19 18:00:00;1995-11-19;Obestämd nederbördstyp;G
1995-11-18 18:00:01;1995-11-19 18:00:00;1995-11-19;snöblandat regn;G
1995-11-18 18:00:01;1995-11-19 18:00:00;1995-11-19;snöbyar;G
1995-11-22 18:00:01;1995-11-23 18:00:00;1995-11-23;regnskurar;G
1995-11-22 18:00:01;1995-11-23 18:00:00;1995-11-23;snowfall;G
1995-11-22 18:00:01;1995-11-23 18:00:00;1995-11-23;duggregn;G
1995-11-22 18:00:01;1995-11-23 18:00:00;1995-11-23;Obestämd nederbördstyp;G
1995-11-23 18:00:01;1995-11-24 18:00:00;1995-11-24;snowfall;G
1995-11-23 18:00:01;1995-11-24 18:00:00;1995-11-24;regnskurar;G
1995-11-23 18:00:01;1995-11-24 18:00:00;1995-11-24;Obestämd nederbördstyp;G
1995-11-26 18:00:01;1995-11-27 18:00:00;1995-11-27;Obestämd nederbördstyp;G
1995-11-26 18:00:01;1995-11-27 18:00:00;1995-11-27;duggregn;G
1995-12-04 06:00:01;1995-12-05 06:00:00;1995-12-04;snöbyar;Y
1995-12-04 18:00:01;1995-12-05 18:00:00;1995-12-05;Obestämd nederbördstyp;G
1995-12-04 18:00:01;1995-12-05 18:00:00;1995-12-05;snöbyar;G
1995-12-04 18:00:01;1995-12-05 18:00:00;1995-12-05;snowfall;G
1995-12-04 18:00:01;1995-12-05 18:00:00;1995-12-05;kornsnö;G
1995-12-05 06:00:01;1995-12-06 06:00:00;1995-12-05;snöbyar;Y
1995-12-06 18:00:01;1995-12-07 18:00:00;1995-12-07;snowfall;G
1995-12-07 06:00:01;1995-12-08 06:00:00;1995-12-07;snowfall;Y
1995-12-07 06:00:01;1995-12-08 06:00:00;1995-12-07;snöblandat regn;Y
1995-12-07 18:00:01;1995-12-08 18:00:00;1995-12-08;kornsnö;G
1995-12-07 18:00:01;1995-12-08 18:00:00;1995-12-08;Obestämd nederbördstyp;G
1995-12-07 18:00:01;1995-12-08 18:00:00;1995-12-08;snowfall;G
1995-12-09 18:00:01;1995-12-10 18:00:00;1995-12-10;snowfall;G
1995-12-09 18:00:01;1995-12-10 18:00:00;1995-12-10;Obestämd nederbördstyp;G
1995-12-09 18:00:01;1995-12-10 18:00:00;1995-12-10;duggregn;G
1995-12-10 06:00:01;1995-12-11 06:00:00;1995-12-10;regn;Y
1995-12-10 18:00:01;1995-12-11 18:00:00;1995-12-11;kornsnö;G
1995-12-10 18:00:01;1995-12-11 18:00:00;1995-12-11;snowfall;G
1995-12-11 18:00:01;1995-12-12 18:00:00;1995-12-12;Obestämd nederbördstyp;G
1995-12-12 18:00:01;1995-12-13 18:00:00;1995-12-13;kornsnö;G
1995-12-12 18:00:01;1995-12-13 18:00:00;1995-12-13;snöbyar;G
1995-12-13 06:00:01;1995-12-14 06:00:00;1995-12-13;snowfall;Y
1995-12-15 18:00:01;1995-12-16 18:00:00;1995-12-16;kornsnö;G
1995-12-16 18:00:01;1995-12-17 18:00:00;1995-12-17;snowfall;G
1995-12-17 18:00:01;1995-12-18 18:00:00;1995-12-18;kornsnö;G
1995-12-17 18:00:01;1995-12-18 18:00:00;1995-12-18;duggregn;G
1995-12-17 18:00:01;1995-12-18 18:00:00;1995-12-18;iskorn;G
1995-12-17 18:00:01;1995-12-18 18:00:00;1995-12-18;snowfall;G
1995-12-17 18:00:01;1995-12-18 18:00:00;1995-12-18;Obestämd nederbördstyp;G
1995-12-18 06:00:01;1995-12-19 06:00:00;1995-12-18;snöblandat regn;Y
1995-12-18 06:00:01;1995-12-19 06:00:00;1995-12-18;kornsnö;Y
1995-12-18 18:00:01;1995-12-19 18:00:00;1995-12-19;kornsnö;G
1995-12-18 18:00:01;1995-12-19 18:00:00;1995-12-19;snowfall;G
1995-12-18 18:00:01;1995-12-19 18:00:00;1995-12-19;Obestämd nederbördstyp;G
1995-12-18 18:00:01;1995-12-19 18:00:00;1995-12-19;snöbyar;G
1995-12-19 06:00:01;1995-12-20 06:00:00;1995-12-19;snöbyar;Y
1995-12-19 06:00:01;1995-12-20 06:00:00;1995-12-19;snöhagel;Y
1995-12-19 06:00:01;1995-12-20 06:00:00;1995-12-19;snöblandat regn;Y
1995-12-19 18:00:01;1995-12-20 18:00:00;1995-12-20;snöbyar;G
1995-12-19 18:00:01;1995-12-20 18:00:00;1995-12-20;snowfall;G
1995-12-19 18:00:01;1995-12-20 18:00:00;1995-12-20;Obestämd nederbördstyp;G
1995-12-20 06:00:01;1995-12-21 06:00:00;1995-12-20;snöhagel;Y
1995-12-21 18:00:01;1995-12-22 18:00:00;1995-12-22;snowfall;G
1995-12-22 06:00:01;1995-12-23 06:00:00;1995-12-22;snowfall;Y
1995-12-22 18:00:01;1995-12-23 18:00:00;1995-12-23;Obestämd nederbördstyp;G
1995-12-22 18:00:01;1995-12-23 18:00:00;1995-12-23;snowfall;G
1995-12-23 06:00:01;1995-12-24 06:00:00;1995-12-23;snowfall;Y
1995-12-23 18:00:01;1995-12-24 18:00:00;1995-12-24;snöbyar;G
1995-12-23 18:00:01;1995-12-24 18:00:00;1995-12-24;snowfall;G
1995-12-24 18:00:01;1995-12-25 18:00:00;1995-12-25;snowfall;G
1995-12-24 18:00:01;1995-12-25 18:00:00;1995-12-25;snöbyar;G
1995-12-25 06:00:01;1995-12-26 06:00:00;1995-12-25;snowfall;Y
1995-12-26 18:00:01;1995-12-27 18:00:00;1995-12-27;snöbyar;G
1995-12-26 18:00:01;1995-12-27 18:00:00;1995-12-27;snowfall;G
1995-12-27 06:00:01;1995-12-28 06:00:00;1995-12-27;snöbyar;Y
1995-12-27 18:00:01;1995-12-28 18:00:00;1995-12-28;snöbyar;G
1995-12-27 18:00:01;1995-12-28 18:00:00;1995-12-28;snowfall;G
1995-12-27 18:00:01;1995-12-28 18:00:00;1995-12-28;kornsnö;G
1995-12-28 06:00:01;1995-12-29 06:00:00;1995-12-28;snowfall;Y
1995-12-28 18:00:01;1995-12-29 18:00:00;1995-12-29;kornsnö;G
1995-12-28 18:00:01;1995-12-29 18:00:00;1995-12-29;snowfall;G
1995-12-28 18:00:01;1995-12-29 18:00:00;1995-12-29;snöblandat regn;G
1995-12-28 18:00:01;1995-12-29 18:00:00;1995-12-29;snöbyar;G
1995-12-29 18:00:01;1995-12-30 18:00:00;1995-12-30;snöbyar;G
1996-01-01 18:00:01;1996-01-02 18:00:00;1996-01-02;snowfall;G
1996-01-02 18:00:01;1996-01-03 18:00:00;1996-01-03;Obestämd nederbördstyp;G
1996-01-03 18:00:01;1996-01-04 18:00:00;1996-01-04;kornsnö;G
1996-01-03 18:00:01;1996-01-04 18:00:00;1996-01-04;snowfall;G
1996-01-03 18:00:01;1996-01-04 18:00:00;1996-01-04;snöbyar;G
1996-01-03 18:00:01;1996-01-04 18:00:00;1996-01-04;Obestämd nederbördstyp;G
1996-01-04 18:00:01;1996-01-05 18:00:00;1996-01-05;snowfall;G
1996-01-04 18:00:01;1996-01-05 18:00:00;1996-01-05;Obestämd nederbördstyp;G
1996-01-04 18:00:01;1996-01-05 18:00:00;1996-01-05;kornsnö;G
1996-01-04 18:00:01;1996-01-05 18:00:00;1996-01-05;underkyld nederbörd;G
1996-01-05 18:00:01;1996-01-06 18:00:00;1996-01-06;snowfall;G
1996-01-06 18:00:01;1996-01-07 18:00:00;1996-01-07;snowfall;G
1996-01-07 18:00:01;1996-01-08 18:00:00;1996-01-08;regn;G
1996-01-07 18:00:01;1996-01-08 18:00:00;1996-01-08;Obestämd nederbördstyp;G
1996-01-07 18:00:01;1996-01-08 18:00:00;1996-01-08;snöblandat regn;G
1996-01-07 18:00:01;1996-01-08 18:00:00;1996-01-08;regnskurar;G
1996-01-07 18:00:01;1996-01-08 18:00:00;1996-01-08;duggregn;G
1996-01-11 18:00:01;1996-01-12 18:00:00;1996-01-12;Obestämd nederbördstyp;G
1996-01-11 18:00:01;1996-01-12 18:00:00;1996-01-12;regnskurar;G
1996-01-11 18:00:01;1996-01-12 18:00:00;1996-01-12;snöbyar;G
1996-01-11 18:00:01;1996-01-12 18:00:00;1996-01-12;duggregn;G
1996-01-17 18:00:01;1996-01-18 18:00:00;1996-01-18;snowfall;G
1996-01-18 18:00:01;1996-01-19 18:00:00;1996-01-19;Obestämd nederbördstyp;G
1996-01-18 18:00:01;1996-01-19 18:00:00;1996-01-19;kornsnö;G
1996-01-18 18:00:01;1996-01-19 18:00:00;1996-01-19;snowfall;G
1996-01-20 18:00:01;1996-01-21 18:00:00;1996-01-21;underkyld nederbörd;G
1996-01-20 18:00:01;1996-01-21 18:00:00;1996-01-21;snowfall;G
1996-01-20 18:00:01;1996-01-21 18:00:00;1996-01-21;Obestämd nederbördstyp;G
1996-01-21 18:00:01;1996-01-22 18:00:00;1996-01-22;snowfall;G
1996-01-21 18:00:01;1996-01-22 18:00:00;1996-01-22;Obestämd nederbördstyp;G
1996-01-21 18:00:01;1996-01-22 18:00:00;1996-01-22;kornsnö;G
1996-01-22 18:00:01;1996-01-23 18:00:00;1996-01-23;Obestämd nederbördstyp;G
1996-01-23 18:00:01;1996-01-24 18:00:00;1996-01-24;kornsnö;G
1996-01-23 18:00:01;1996-01-24 18:00:00;1996-01-24;Obestämd nederbördstyp;G
1996-01-23 18:00:01;1996-01-24 18:00:00;1996-01-24;snowfall;G
1996-01-24 18:00:01;1996-01-25 18:00:00;1996-01-25;snowfall;G
1996-01-24 18:00:01;1996-01-25 18:00:00;1996-01-25;snöbyar;G
1996-01-25 18:00:01;1996-01-26 18:00:00;1996-01-26;snowfall;G
1996-01-25 18:00:01;1996-01-26 18:00:00;1996-01-26;Obestämd nederbördstyp;G
1996-01-29 18:00:01;1996-01-30 18:00:00;1996-01-30;Obestämd nederbördstyp;G
1996-01-29 18:00:01;1996-01-30 18:00:00;1996-01-30;snöblandat regn;G
1996-01-29 18:00:01;1996-01-30 18:00:00;1996-01-30;underkyld nederbörd;G
1996-01-29 18:00:01;1996-01-30 18:00:00;1996-01-30;snowfall;G
1996-01-29 18:00:01;1996-01-30 18:00:00;1996-01-30;kornsnö;G
1996-01-30 18:00:01;1996-01-31 18:00:00;1996-01-31;Obestämd nederbördstyp;G
1996-01-30 18:00:01;1996-01-31 18:00:00;1996-01-31;snowfall;G
1996-01-31 18:00:01;1996-02-01 18:00:00;1996-02-01;snowfall;G
1996-01-31 18:00:01;1996-02-01 18:00:00;1996-02-01;Obestämd nederbördstyp;G
1996-01-31 18:00:01;1996-02-01 18:00:00;1996-02-01;snöbyar;G
1996-01-31 18:00:01;1996-02-01 18:00:00;1996-02-01;kornsnö;G
1996-02-01 18:00:01;1996-02-02 18:00:00;1996-02-02;Obestämd nederbördstyp;G
1996-02-02 18:00:01;1996-02-03 18:00:00;1996-02-03;snowfall;G
1996-02-02 18:00:01;1996-02-03 18:00:00;1996-02-03;underkyld nederbörd;G
1996-02-02 18:00:01;1996-02-03 18:00:00;1996-02-03;Obestämd nederbördstyp;G
1996-02-03 18:00:01;1996-02-04 18:00:00;1996-02-04;iskorn;G
1996-02-03 18:00:01;1996-02-04 18:00:00;1996-02-04;snowfall;G
1996-02-06 18:00:01;1996-02-07 18:00:00;1996-02-07;snöbyar;G
1996-02-06 18:00:01;1996-02-07 18:00:00;1996-02-07;Obestämd nederbördstyp;G
1996-02-07 18:00:01;1996-02-08 18:00:00;1996-02-08;Obestämd nederbördstyp;G
1996-02-07 18:00:01;1996-02-08 18:00:00;1996-02-08;snöbyar;G
1996-02-07 18:00:01;1996-02-08 18:00:00;1996-02-08;snowfall;G
1996-02-08 18:00:01;1996-02-09 18:00:00;1996-02-09;snöbyar;G
1996-02-08 18:00:01;1996-02-09 18:00:00;1996-02-09;kornsnö;G
1996-02-08 18:00:01;1996-02-09 18:00:00;1996-02-09;snowfall;G
1996-02-10 18:00:01;1996-02-11 18:00:00;1996-02-11;snowfall;G
1996-02-11 18:00:01;1996-02-12 18:00:00;1996-02-12;snowfall;G
1996-02-11 18:00:01;1996-02-12 18:00:00;1996-02-12;kornsnö;G
1996-02-14 18:00:01;1996-02-15 18:00:00;1996-02-15;kornsnö;G
1996-02-14 18:00:01;1996-02-15 18:00:00;1996-02-15;regn;G
1996-02-14 18:00:01;1996-02-15 18:00:00;1996-02-15;snöblandat regn;G
1996-02-14 18:00:01;1996-02-15 18:00:00;1996-02-15;snowfall;G
1996-02-15 18:00:01;1996-02-16 18:00:00;1996-02-16;iskorn;G
1996-02-15 18:00:01;1996-02-16 18:00:00;1996-02-16;regnskurar;G
1996-02-15 18:00:01;1996-02-16 18:00:00;1996-02-16;duggregn;G
1996-02-15 18:00:01;1996-02-16 18:00:00;1996-02-16;regn;G
1996-02-15 18:00:01;1996-02-16 18:00:00;1996-02-16;Obestämd nederbördstyp;G
1996-02-15 18:00:01;1996-02-16 18:00:00;1996-02-16;kornsnö;G
1996-02-15 18:00:01;1996-02-16 18:00:00;1996-02-16;snöblandat regn;G
1996-02-16 18:00:01;1996-02-17 18:00:00;1996-02-17;snowfall;G
1996-02-16 18:00:01;1996-02-17 18:00:00;1996-02-17;regn;G
1996-02-17 18:00:01;1996-02-18 18:00:00;1996-02-18;snowfall;G
1996-02-18 18:00:01;1996-02-19 18:00:00;1996-02-19;snowfall;G
1996-02-19 18:00:01;1996-02-20 18:00:00;1996-02-20;kornsnö;G
1996-02-19 18:00:01;1996-02-20 18:00:00;1996-02-20;snowfall;G
1996-02-20 18:00:01;1996-02-21 18:00:00;1996-02-21;kornsnö;G
1996-02-20 18:00:01;1996-02-21 18:00:00;1996-02-21;snöbyar;G
1996-02-20 18:00:01;1996-02-21 18:00:00;1996-02-21;snowfall;G
1996-02-21 18:00:01;1996-02-22 18:00:00;1996-02-22;kornsnö;G
1996-02-21 18:00:01;1996-02-22 18:00:00;1996-02-22;snowfall;G
1996-02-21 18:00:01;1996-02-22 18:00:00;1996-02-22;snöbyar;G
1996-02-22 18:00:01;1996-02-23 18:00:00;1996-02-23;snöbyar;G
1996-02-22 18:00:01;1996-02-23 18:00:00;1996-02-23;snowfall;G
1996-02-22 18:00:01;1996-02-23 18:00:00;1996-02-23;kornsnö;G
1996-02-22 18:00:01;1996-02-23 18:00:00;1996-02-23;Obestämd nederbördstyp;G
1996-02-23 18:00:01;1996-02-24 18:00:00;1996-02-24;snöbyar;G
1996-02-23 18:00:01;1996-02-24 18:00:00;1996-02-24;Obestämd nederbördstyp;G
1996-02-24 18:00:01;1996-02-25 18:00:00;1996-02-25;snowfall;G
1996-02-24 18:00:01;1996-02-25 18:00:00;1996-02-25;Obestämd nederbördstyp;G
1996-02-25 18:00:01;1996-02-26 18:00:00;1996-02-26;underkyld nederbörd;G
1996-02-25 18:00:01;1996-02-26 18:00:00;1996-02-26;Obestämd nederbördstyp;G
1996-02-25 18:00:01;1996-02-26 18:00:00;1996-02-26;regnskurar;G
1996-02-25 18:00:01;1996-02-26 18:00:00;1996-02-26;regn;G
1996-02-26 18:00:01;1996-02-27 18:00:00;1996-02-27;Obestämd nederbördstyp;G
1996-02-28 18:00:01;1996-02-29 18:00:00;1996-02-29;snowfall;G
1996-02-28 18:00:01;1996-02-29 18:00:00;1996-02-29;Obestämd nederbördstyp;G
1996-03-04 18:00:01;1996-03-05 18:00:00;1996-03-05;Obestämd nederbördstyp;G
1996-03-04 18:00:01;1996-03-05 18:00:00;1996-03-05;kornsnö;G
1996-03-05 18:00:01;1996-03-06 18:00:00;1996-03-06;snöbyar;G
1996-03-05 18:00:01;1996-03-06 18:00:00;1996-03-06;Obestämd nederbördstyp;G
1996-03-06 18:00:01;1996-03-07 18:00:00;1996-03-07;snowfall;G
1996-03-06 18:00:01;1996-03-07 18:00:00;1996-03-07;Obestämd nederbördstyp;G
1996-03-09 18:00:01;1996-03-10 18:00:00;1996-03-10;snowfall;G
1996-03-09 18:00:01;1996-03-10 18:00:00;1996-03-10;Obestämd nederbördstyp;G
1996-03-10 18:00:01;1996-03-11 18:00:00;1996-03-11;snowfall;G
1996-03-10 18:00:01;1996-03-11 18:00:00;1996-03-11;snöbyar;G
1996-03-10 18:00:01;1996-03-11 18:00:00;1996-03-11;Obestämd nederbördstyp;G
1996-03-11 18:00:01;1996-03-12 18:00:00;1996-03-12;snowfall;G
1996-03-11 18:00:01;1996-03-12 18:00:00;1996-03-12;Obestämd nederbördstyp;G
1996-03-11 18:00:01;1996-03-12 18:00:00;1996-03-12;kornsnö;G
1996-03-11 18:00:01;1996-03-12 18:00:00;1996-03-12;snöbyar;G
1996-03-12 18:00:01;1996-03-13 18:00:00;1996-03-13;kornsnö;G
1996-03-12 18:00:01;1996-03-13 18:00:00;1996-03-13;snöbyar;G
1996-03-12 18:00:01;1996-03-13 18:00:00;1996-03-13;snowfall;G
1996-03-13 18:00:01;1996-03-14 18:00:00;1996-03-14;Obestämd nederbördstyp;G
1996-03-13 18:00:01;1996-03-14 18:00:00;1996-03-14;snowfall;G
1996-03-13 18:00:01;1996-03-14 18:00:00;1996-03-14;kornsnö;G
1996-03-14 18:00:01;1996-03-15 18:00:00;1996-03-15;Obestämd nederbördstyp;G
1996-03-14 18:00:01;1996-03-15 18:00:00;1996-03-15;kornsnö;G
1996-03-14 18:00:01;1996-03-15 18:00:00;1996-03-15;snowfall;G
1996-03-16 18:00:01;1996-03-17 18:00:00;1996-03-17;snowfall;G
1996-03-16 18:00:01;1996-03-17 18:00:00;1996-03-17;Obestämd nederbördstyp;G
1996-03-16 18:00:01;1996-03-17 18:00:00;1996-03-17;kornsnö;G
1996-03-23 18:00:01;1996-03-24 18:00:00;1996-03-24;snowfall;G
1996-03-23 18:00:01;1996-03-24 18:00:00;1996-03-24;Obestämd nederbördstyp;G
1996-03-25 18:00:01;1996-03-26 18:00:00;1996-03-26;snöbyar;G
1996-03-25 18:00:01;1996-03-26 18:00:00;1996-03-26;Obestämd nederbördstyp;G
1996-03-27 18:00:01;1996-03-28 18:00:00;1996-03-28;kornsnö;G
1996-03-27 18:00:01;1996-03-28 18:00:00;1996-03-28;snowfall;G
1996-03-28 18:00:01;1996-03-29 18:00:00;1996-03-29;Obestämd nederbördstyp;G
1996-03-28 18:00:01;1996-03-29 18:00:00;1996-03-29;snöblandat regn;G
1996-03-28 18:00:01;1996-03-29 18:00:00;1996-03-29;snowfall;G
1996-03-28 18:00:01;1996-03-29 18:00:00;1996-03-29;regn;G
1996-03-28 18:00:01;1996-03-29 18:00:00;1996-03-29;duggregn;G
1996-03-28 18:00:01;1996-03-29 18:00:00;1996-03-29;iskorn;G
1996-03-29 18:00:01;1996-03-30 18:00:00;1996-03-30;Obestämd nederbördstyp;G
1996-03-29 18:00:01;1996-03-30 18:00:00;1996-03-30;iskorn;G
1996-03-29 18:00:01;1996-03-30 18:00:00;1996-03-30;kornsnö;G
1996-03-29 18:00:01;1996-03-30 18:00:00;1996-03-30;snöbyar;G
1996-03-30 18:00:01;1996-03-31 18:00:00;1996-03-31;Obestämd nederbördstyp;G
1996-03-30 18:00:01;1996-03-31 18:00:00;1996-03-31;kornsnö;G
1996-03-30 18:00:01;1996-03-31 18:00:00;1996-03-31;iskorn;G
1996-03-30 18:00:01;1996-03-31 18:00:00;1996-03-31;snöbyar;G
1996-03-30 18:00:01;1996-03-31 18:00:00;1996-03-31;snowfall;G
1996-03-31 18:00:01;1996-04-01 18:00:00;1996-04-01;snöblandat regn;G
1996-03-31 18:00:01;1996-04-01 18:00:00;1996-04-01;snowfall;G
1996-03-31 18:00:01;1996-04-01 18:00:00;1996-04-01;Obestämd nederbördstyp;G
1996-03-31 18:00:01;1996-04-01 18:00:00;1996-04-01;snöbyar;G
1996-04-01 18:00:01;1996-04-02 18:00:00;1996-04-02;snöbyar;G
1996-04-01 18:00:01;1996-04-02 18:00:00;1996-04-02;snowfall;G
1996-04-08 18:00:01;1996-04-09 18:00:00;1996-04-09;kornsnö;G
1996-04-10 18:00:01;1996-04-11 18:00:00;1996-04-11;Obestämd nederbördstyp;G
1996-04-10 18:00:01;1996-04-11 18:00:00;1996-04-11;snöbyar;G
1996-04-10 18:00:01;1996-04-11 18:00:00;1996-04-11;snowfall;G
1996-04-10 18:00:01;1996-04-11 18:00:00;1996-04-11;kornsnö;G
1996-04-11 18:00:01;1996-04-12 18:00:00;1996-04-12;snowfall;G
1996-04-23 18:00:01;1996-04-24 18:00:00;1996-04-24;regn;G
1996-04-23 18:00:01;1996-04-24 18:00:00;1996-04-24;duggregn;G
1996-04-24 18:00:01;1996-04-25 18:00:00;1996-04-25;regnskurar;G
1996-04-24 18:00:01;1996-04-25 18:00:00;1996-04-25;Obestämd nederbördstyp;G
1996-04-24 18:00:01;1996-04-25 18:00:00;1996-04-25;regn;G
1996-04-25 18:00:01;1996-04-26 18:00:00;1996-04-26;Obestämd nederbördstyp;G
1996-04-25 18:00:01;1996-04-26 18:00:00;1996-04-26;regnskurar;G
1996-04-25 18:00:01;1996-04-26 18:00:00;1996-04-26;snowfall;G
1996-04-25 18:00:01;1996-04-26 18:00:00;1996-04-26;duggregn;G
1996-04-27 18:00:01;1996-04-28 18:00:00;1996-04-28;regn;G
1996-04-29 18:00:01;1996-04-30 18:00:00;1996-04-30;Obestämd nederbördstyp;G
1996-05-01 18:00:01;1996-05-02 18:00:00;1996-05-02;Obestämd nederbördstyp;G
1996-05-03 18:00:01;1996-05-04 18:00:00;1996-05-04;duggregn;G
1996-05-03 18:00:01;1996-05-04 18:00:00;1996-05-04;regn;G
1996-05-04 18:00:01;1996-05-05 18:00:00;1996-05-05;Obestämd nederbördstyp;G
1996-05-04 18:00:01;1996-05-05 18:00:00;1996-05-05;regn;G
1996-05-04 18:00:01;1996-05-05 18:00:00;1996-05-05;duggregn;G
1996-05-05 18:00:01;1996-05-06 18:00:00;1996-05-06;snowfall;G
1996-05-05 18:00:01;1996-05-06 18:00:00;1996-05-06;Obestämd nederbördstyp;G
1996-05-09 18:00:01;1996-05-10 18:00:00;1996-05-10;Obestämd nederbördstyp;G
1996-05-09 18:00:01;1996-05-10 18:00:00;1996-05-10;regn;G
1996-05-09 18:00:01;1996-05-10 18:00:00;1996-05-10;duggregn;G
1996-05-09 18:00:01;1996-05-10 18:00:00;1996-05-10;snowfall;G
1996-05-10 18:00:01;1996-05-11 18:00:00;1996-05-11;regnskurar;G
1996-05-10 18:00:01;1996-05-11 18:00:00;1996-05-11;regn;G
1996-05-10 18:00:01;1996-05-11 18:00:00;1996-05-11;Obestämd nederbördstyp;G
1996-05-10 18:00:01;1996-05-11 18:00:00;1996-05-11;duggregn;G
